2022/1/14,688,220114B,59740.00 ,8.70%,54542.620 ,2.40%,1.309023e+03,3.403000e+01,3.800000e-01
2022/1/15,741,220115A,62160.00 ,10.00%,55944.000 ,2.40%,1.342656e+03,3.403000e+01,3.800000e-01
2022/1/15,743,220115D,57460.00 ,9.80%,51828.920 ,1.80%,9.329210e+02,3.403000e+01,3.800000e-01
2022/1/15,4182,220115E,60740.00 ,8.90%,55334.140 ,2.20%,1.217351e+03,3.403000e+01,3.800000e-01
2022/1/15,4183,220115F,61180.00 ,10.10%,55000.820 ,2.30%,1.265019e+03,3.403000e+01,3.800000e-01
2022/1/20,1020,220120B,82520.00 ,8.90%,75175.720 ,1.90%,1.428339e+03,3.403000e+01,3.800000e-01
2022/1/30,2234,220130B,58820.00 ,9.70%,53114.460 ,1.20%,6.373740e+02,3.403000e+01,3.800000e-01
2022/1/30,3566,220130C,63940.00 ,10.10%,57482.060 ,1.10%,6.323030e+02,3.403000e+01,3.800000e-01
2022/1/30,3813,220130D,66160.00 ,10.10%,59477.840 ,1.10%,6.542560e+02,3.403000e+01,3.800000e-01
2022/1/30,9816,220130E,67220.00 ,9.50%,60834.100 ,1.10%,6.691750e+02,3.403000e+01,3.800000e-01
2022/1/30,1732,220130F,66580.00 ,10.20%,59788.840 ,1.10%,6.576770e+02,3.403000e+01,3.800000e-01
2022/1/30,2318,220130G,65000.00 ,9.80%,58630.000 ,1.30%,7.621900e+02,3.403000e+01,3.800000e-01
2022/1/30,743,220130H,61600.00 ,9.60%,55686.400 ,1.10%,6.125500e+02,3.403000e+01,3.800000e-01
2022/1/30,3289,220130I,71420.00 ,8.90%,65063.620 ,1.70%,1.106082e+03,3.403000e+01,3.800000e-01
2022/1/30,1818,220130J,66220.00 ,10.30%,59399.340 ,1.10%,6.533930e+02,3.403000e+01,3.800000e-01
2022/1/30,785,220130L,65200.00 ,10.00%,58680.000 ,1.10%,6.454800e+02,3.403000e+01,3.800000e-01
2022/1/30,741,220130M,61060.00 ,11.50%,54038.100 ,2.30%,1.242876e+03,3.403000e+01,3.800000e-01
2022/1/31,1209,220131A,60760.00 ,10.30%,54501.720 ,1.10%,5.995190e+02,3.403000e+01,3.800000e-01
2022/1/10,7603,220110A,70440.00 ,8.70%,64311.720 ,3.20%,2.057975e+03,3.403000e+01,3.800000e-01
2022/1/15,2234,220115C,63460.00 ,8.90%,57812.060 ,3.00%,1.734362e+03,3.403000e+01,4.000000e-01
2022/1/8,688,220108D,58300.00 ,8.40%,53402.800 ,3.60%,1.922501e+03,3.403000e+01,4.200000e-01
,,,,,,,,,
,,,,,,,,,
