2021/12/15,1818.00 ,211215A,72920.000 ,10.10%,65555.080 ,2.200%,2.200%,1442.212 ,32.780 ,0.380 
2021/12/15,1485.00 ,211215B,73920.000 ,9.70%,66749.760 ,3.100%,3.100%,2069.243 ,32.780 ,0.400 
2021/12/15,5795.00 ,211215C,71680.000 ,9.80%,64655.360 ,3.400%,3.400%,2198.282 ,32.780 ,0.400 
2021/12/15,1239.00 ,211215D,74560.000 ,10.80%,66507.520 ,2.700%,2.700%,1795.703 ,32.780 ,0.380 
2021/12/21,1818.00 ,211221A,70400.000 ,11.00%,62656.000 ,0.000%,1.800%,1127.808 ,32.780 ,0.000 
2021/12/21,1239.00 ,211221B,70840.000 ,10.60%,63330.960 ,0.000%,1.900%,1203.288 ,32.780 ,0.000 
2021/12/20,256.00 ,211220C,63800.000 ,10.40%,57164.800 ,0.000%,4.000%,2286.592 ,32.780 ,0.420 
2021/12/20,3566.00 ,211220D,66860.000 ,11.20%,59371.680 ,0.000%,3.800%,2256.124 ,32.780 ,0.400 
2021/12/20,4836.00 ,211220E,70480.000 ,11.60%,62304.320 ,0.000%,1.500%,934.565 ,32.780 ,0.000 
2021/12/20,252.00 ,211220F,63960.000 ,11.30%,56732.520 ,0.000%,3.900%,2212.568 ,32.780 ,0.400 
2021/12/21,3531.00 ,211220G,78080.000 ,8.80%,71208.960 ,0.000%,4.100%,2919.567 ,32.780 ,0.420 
2021/12/20,787.00 ,211220H,68560.000 ,9.80%,61841.120 ,0.000%,3.200%,1978.916 ,32.780 ,0.400 
2021/12/28,787.00 ,211228B,65080.000 ,8.40%,59613.280 ,0.000%,5.100%,3040.277 ,32.780 ,0.440 
2021/12/28,256.00 ,211228C,59980.000 ,7.30%,55601.460 ,0.000%,3.200%,1779.247 ,32.780 ,0.400 
2021/12/29,1722.00 ,211229F,70880.000 ,7.90%,65280.480 ,0.000%,3.100%,2023.695 ,32.780 ,0.400 
2021/12/29,5795.00 ,211229D,66460.000 ,8.90%,60545.060 ,0.000%,2.200%,1331.991 ,32.780 ,0.380 
2021/12/29,744.00 ,211229G,71800.000 ,9.30%,65122.600 ,0.000%,3.500%,2279.291 ,32.780 ,0.400 
2021/12/29,1732.00 ,211229A,65640.000 ,9.20%,59601.120 ,0.000%,3.200%,1907.236 ,32.780 ,0.400 
2021/12/29,4237.00 ,211229I,61460.000 ,8.40%,56297.360 ,0.000%,2.500%,1407.434 ,32.780 ,0.380 
2021/12/29,1719.00 ,211229C,73140.000 ,8.20%,67142.520 ,0.000%,2.900%,1947.133 ,32.780 ,0.380 
2021/12/29,743.00 ,211229E,66020.000 ,7.20%,61266.560 ,0.000%,2.800%,1715.464 ,32.780 ,0.380 
2021/12/29,2615.00 ,211229J,65460.000 ,9.30%,59372.220 ,0.000%,3.600%,2137.400 ,32.780 ,0.400 
2021/12/29,4183.00 ,211229B,60800.000 ,6.70%,56726.400 ,0.000%,2.400%,1361.434 ,32.780 ,0.380 
2021/12/30,1485.00 ,211230E,72200.000 ,7.00%,67146.000 ,0.000%,3.000%,2014.380 ,32.780 ,0.400 
2021/12/30,1239.00 ,211230D,70140.000 ,7.30%,65019.780 ,0.000%,3.100%,2015.613 ,32.780 ,0.400 
2021/12/30,4183.00 ,211230C,63860.000 ,5.00%,60667.000 ,0.000%,3.100%,1880.677 ,32.780 ,0.400 
2021/12/30,4182.00 ,211230B,65300.000 ,6.30%,61186.100 ,0.000%,2.800%,1713.211 ,32.780 ,0.380 
2021/12/30,487.00 ,211230A,72900.000 ,5.00%,69255.000 ,0.000%,2.800%,1939.140 ,32.780 ,0.380 
2021/12/31,4396.00 ,211231E,65460.000 ,6.80%,61008.720 ,0.000%,3.400%,2074.297 ,32.780 ,0.400 
2021/12/31,688.00 ,211231C,63020.000 ,8.30%,57789.340 ,0.000%,3.800%,2195.995 ,32.780 ,0.400 
2021/12/31,741.00 ,211231B,64560.000 ,7.80%,59524.320 ,0.000%,3.100%,1845.254 ,32.780 ,0.400 
2021/12/31,1732.00 ,211231D,65360.000 ,7.70%,60327.280 ,0.000%,3.500%,2111.455 ,32.780 ,0.400 
2021/12/3,2958.00 ,211203A,73500.000 ,13.40%,63651.000 ,0.000%,3.000%,1909.530 ,32.780 ,0.400 
2021/12/18,2966.00 ,211218C,72960.000 ,13.70%,62964.480 ,0.000%,2.800%,1763.005 ,32.780 ,0.380 
2021/12/31,2968.00 ,211231A,70120.000 ,16.90%,58269.720 ,0.000%,2.400%,1398.473 ,32.780 ,0.380 
2021/12/11,2951.00 ,211211A,72840.000 ,14.10%,62569.560 ,0.000%,3.500%,2189.935 ,32.780 ,0.400 
2021/12/14,2957.00 ,211214K,71140.000 ,13.90%,61251.540 ,0.000%,4.000%,2450.062 ,32.780 ,0.420 
2021/12/8,2967.00 ,211208A,71380.000 ,13.70%,61600.940 ,0.000%,3.500%,2156.033 ,32.780 ,0.400 
2021/12/29,2966.00 ,211229H,71610.000 ,11.80%,63160.020 ,0.000%,4.300%,2715.881 ,32.780 ,0.420 
2021/12/26,4254.00 ,211226B,59800.000 ,10.50%,53521.000 ,0.000%,7.600%,4067.596 ,32.780 ,0.480 
2021/12/2,450.00 ,211202A,66660.000 ,16.10%,55927.740 ,0.000%,2.500%,1398.194 ,32.780 ,0.380 
2021/12/3,9816.00 ,211203B,73120.000 ,13.20%,63468.160 ,0.000%,2.600%,1650.172 ,32.780 ,0.380 
